player_name,team,conf,GP,Min_per,Ortg,usg,eFG,TS_per,ORB_per,DRB_per,AST_per,TO_per,FTM,FTA,FT_per,twoPM,twoPA,twoP_per,TPM,TPA,TP_per,blk_per,stl_per,ftr,porpag,adjoe,pfr,year,pid,Rec Rank,ast/tov,rimmade,rimmade+rimmiss,midmade,midmade+midmiss,rimmade/(rimmade+rimmiss),midmade/(midmade+midmiss),dunksmade,dunksmiss+dunksmade,drtg,adrtg,dporpag,stops,bpm,obpm,dbpm,gbpm,mp,ogbpm,dgbpm,oreb,dreb,treb,ast,stl,blk,pts,role,draft_status,yr_num,ht_inches,Playmaker_Usg,Scoring_Gravity,AST_to_USG,Elite_Recruit,Freshman_Star
Randy Spaid,St. Francis PA,NEC,18,10.2,94.0,14.4,50.0,51.54,11.0,13.7,1.9,21.7,6,11,0.545,10,20,0.5,0,0,0.0,3.0,1.0,55.0,-0.0233355,83.2497,5.0,2009,108,999.0,0.16681668,7.226578149144394,11.786711891460495,2.7734218508556063,8.213288108539505,0.6131123094966009,0.33767497428612414,0.0,0.0,109.23,113.943,0.282729,18.9265,-7.61322,-4.34849,-3.26473,-5.8071,6.6111,-3.03418,-2.77291,0.5556,0.7222,1.2778,0.0556,0.1111,0.1667,1.4444,Unknown,0,3.0,80.0,27.36,79.442,0.13193528227206444,0,0
James Doran,Pacific,BW,33,38.1,118.5,19.1,57.6,58.05,1.6,10.3,15.0,10.2,13,21,0.619,33,60,0.55,41,104,0.394,0.0,1.6,12.8,1.66288,115.739,2.3,2009,112,999.0,2.20022007,20.47222222222222,30.0,12.527777777777779,30.0,0.6824074074074074,0.4175925925925926,0.0,0.0,105.081,104.74,1.1374,72.8064,1.76693,3.96372,-2.19679,3.79032,15.5152,4.15336,-0.363049,0.1818,1.2424,1.4242,1.0,0.3636,0.0,6.1212,Unknown,0,4.0,75.0,286.5,78.35136,0.7852991989948169,0,0
Leon Young,Loyola Chicago,Horz,20,32.3,110.2,20.9,47.5,55.56,15.5,12.7,6.1,17.6,50,64,0.781,48,101,0.475,0,0,0.0,1.1,0.8,63.4,1.90603,111.731,3.5,2009,115,999.0,0.45833333,32.957611940298506,55.342465753424655,15.04238805970149,45.657534246575345,0.5955212058519285,0.32946124463192583,0.0,0.0,106.168,107.198,1.32335,58.8798,-1.65095,0.936475,-2.58742,-1.28241,20.0,1.47705,-2.75946,2.85,2.1,4.95,0.55,0.25,0.2,7.3,Unknown,0,4.0,78.0,127.48999999999998,462.82,0.2918520644945218,0,0
Kyle Taber,Indiana,B10,30,62.1,104.2,11.3,51.4,53.31,9.2,18.6,9.6,21.6,16,23,0.696,54,106,0.509,2,5,0.4,1.4,2.4,20.7,1.0423,96.3643,3.4,2009,116,999.0,1.06669998,37.07731343283582,58.082191780821915,16.922686567164178,47.917808219178085,0.6383594058011828,0.353160697370779,0.0,0.0,104.165,97.5456,2.47462,141.531,4.13761,1.1824,2.95521,2.88575,24.9333,0.850946,2.0348,1.8,3.5333,5.3333,1.0667,0.9667,0.3,4.3333,Unknown,0,4.0,79.0,108.48,89.69931000000001,0.8494823466949827,0,0
Monty Sanders,Elon,SC,29,44.2,96.2,19.4,51.4,51.35,6.5,15.3,11.8,19.0,17,35,0.486,39,91,0.429,24,55,0.436,2.1,2.2,24.0,0.466483,91.8788,4.9,2009,127,5.2,0.87502266,26.778059701492538,49.863013698630134,12.22194029850746,41.136986301369866,0.5370325159914713,0.29710344381986165,0.0,0.0,105.541,105.582,1.26766,93.0848,-0.874336,-0.76089,-0.113446,-1.23316,17.9655,-0.956449,-0.27671,1.0,2.2069,3.2069,0.9655,0.6552,0.3448,5.7586,Unknown,0,4.0,78.0,228.92,138.2064,0.6082160713365291,1,0
Lawrence Dixon,Holy Cross,Pat,19,7.4,72.6,18.3,44.2,43.01,3.7,6.8,4.5,31.3,1,4,0.25,7,19,0.368,3,7,0.429,1.4,0.0,15.4,-0.248417,69.949,5.9,2009,132,999.0,0.2222926,4.806318407960199,10.410958904109588,2.193681592039801,8.589041095890412,0.4616595312909139,0.2554047148626881,0.0,0.0,103.696,107.376,0.327763,11.2464,-10.8377,-7.45886,-3.37879,-10.5888,5.0,-6.81658,-3.77225,0.1579,0.2632,0.4211,0.1053,0.0,0.0526,1.2632,Unknown,0,4.0,77.0,82.35000000000001,19.453280000000003,0.2458882028304464,0,0
Greg McCarthy,Holy Cross,Pat,28,29.0,87.3,18.7,50.6,50.13,8.2,13.5,11.1,28.7,14,31,0.452,43,81,0.531,1,7,0.143,3.8,2.5,35.2,-0.00559028,84.1455,5.3,2009,133,999.0,0.57576789,31.074286041320892,47.736183160415,11.925713958679108,33.263816839585,0.6509587483544158,0.35851910850131696,0.0,0.0,94.8522,98.3253,1.28587,68.9047,-1.53193,-3.33342,1.80149,-1.6272,13.3214,-3.07433,1.44713,0.9286,1.3929,2.3214,0.6786,0.5357,0.3929,3.6786,Unknown,0,4.0,83.0,207.57,129.48672000000002,0.5935511469974867,0,0
Alex Vander Baan,Holy Cross,Pat,26,41.6,105.0,15.0,43.4,47.36,7.5,12.6,11.0,15.8,26,35,0.743,24,71,0.338,21,57,0.368,2.9,2.6,27.3,0.814231,95.7467,4.0,2009,134,999.0,1.38095826,17.343787557946545,41.84282721468476,6.656212442053455,29.157172785315243,0.4144984627582654,0.2282873065596332,0.0,0.0,95.3951,100.506,1.82718,96.4714,1.91127,0.417474,1.4938,1.41545,20.5385,0.137001,1.27845,1.3077,2.0,3.3077,1.1154,0.8846,0.4615,5.2692,Unknown,0,4.0,81.0,165.0,143.84915999999998,0.7332844477034864,0,0
Juwann James,James Madison,CAA,23,39.7,110.6,28.2,58.5,59.34,10.6,12.9,10.3,15.4,64,107,0.598,129,220,0.586,1,3,0.333,3.5,2.5,48.0,3.4157,123.931,4.4,2009,135,43.4,0.51217321,88.57358208955225,120.54794520547945,40.42641791044775,99.45205479452055,0.7347581241519675,0.406491529953538,0.0,0.0,99.3612,99.9792,2.26379,112.539,2.89828,2.17877,0.71951,4.28223,25.087,3.8866,0.395631,2.087,2.8261,4.913,0.913,1.0435,0.7826,14.1304,Unknown,0,4.0,78.0,290.46000000000004,678.2592,0.36523527534484596,0,0
Kyle Swanston,James Madison,CAA,34,69.8,115.3,17.9,53.5,56.64,3.3,10.7,7.2,11.1,58,72,0.806,27,77,0.351,90,226,0.398,1.0,1.2,23.8,2.71657,110.754,2.5,2009,137,999.0,1.03029053,18.53865671641791,42.1917808219178,8.461343283582089,34.8082191780822,0.43939024035665836,0.24308463585261408,0.0,0.0,104.585,106.35,2.04269,158.26,2.10971,3.38145,-1.27174,2.35739,29.8824,3.30945,-0.952058,0.7647,2.7941,3.5588,1.0,0.6176,0.2647,11.2353,Unknown,0,4.0,79.0,128.88,267.40014,0.4022121669180493,0,0
